Species_Label,Taxon_id,Edible,url
Fly Agaric,48715,No,https://www.inaturalist.org/taxa/48715-Amanita-muscaria
Shaggy Main,47392,Yes,https://www.inaturalist.org/taxa/47392-Coprinus-comatus
Sulfur Tuft,48767,No,https://www.inaturalist.org/taxa/48767-Hypholoma-fasciculare
Parasol,63401,Yes,https://www.inaturalist.org/taxa/63401-Macrolepiota-procera
Chicken of the Woods,53713,Yes,https://www.inaturalist.org/taxa/53713-Laetiporus-sulphureus
Blusher,67661,Yes,https://www.inaturalist.org/taxa/67661-Amanita-rubescens
Splitgill Mushroom,54573,No,https://www.inaturalist.org/taxa/54573-Schizophyllum-commune
Cloudy Clitocybe,63255,Yes,https://www.inaturalist.org/taxa/63255-Clitocybe-nebularis
Common Puffball,48443,Yes,https://www.inaturalist.org/taxa/48443-Lycoperdon-perlatum
Jelly Ear,50813,Yes,https://www.inaturalist.org/taxa/50813-Auricularia-auricula-judae
False Death Cap,63271,No,https://www.inaturalist.org/taxa/63271-Amanita-citrina
King Bolete,48701,Yes,https://www.inaturalist.org/taxa/48701-Boletus-edulis
Amethyst Deceiver,55899,Yes,https://www.inaturalist.org/taxa/55899-Laccaria-amethystina
Bay Bolete,510854,Yes,https://www.inaturalist.org/taxa/510854-Imleria-badia
Pear-shaped Puffball,972793,Yes,https://www.inaturalist.org/taxa/972793-Apioperdon-pyriforme
Giant Polypore,157989,Yes,https://www.inaturalist.org/taxa/157989-Meripilus-giganteus
Oyster Mushroom,48494,Yes,https://www.inaturalist.org/taxa/48494-Pleurotus-ostreatus
Mica Cap,56318,Yes,https://www.inaturalist.org/taxa/56318-Coprinellus-micaceus
Witch's Butter,48529,Yes,https://www.inaturalist.org/taxa/48529-Tremella-mesenterica
Porcelain Mushroom,55964,Yes,https://www.inaturalist.org/taxa/55964-Oudemansiella-mucida
Brown Roll-Rim,55941,No,https://www.inaturalist.org/taxa/55941-Paxillus-involutus
Common Bonnet,63446,Yes,https://www.inaturalist.org/taxa/63446-Mycena-galericulata
Common Stinkhorn,54594,Yes,https://www.inaturalist.org/taxa/54594-Phallus-impudicus
Fairy Ring Marasmius,118240,Yes,https://www.inaturalist.org/taxa/118240-Marasmius-oreades
Dotted Stem Bolete,553907,Yes,https://www.inaturalist.org/taxa/553907-Neoboletus-erythropus
Honey Mushroom - subspecies 1,192381,Yes,https://www.inaturalist.org/taxa/192381-Armillaria-ostoyae
Magpie Inkcap,63224,No,https://www.inaturalist.org/taxa/63224-Coprinopsis-picacea
Rosy Bonnet,512746,No,https://www.inaturalist.org/taxa/512746-Mycena-rosea
False Chanterelle,63538,No,https://www.inaturalist.org/taxa/63538-Hygrophoropsis-aurantiaca
Red-cracking Bolete,438013,Yes,https://www.inaturalist.org/taxa/438013-Xerocomellus-chrysenteron
Lurid Bolete,824777,Yes,https://www.inaturalist.org/taxa/824777-Suillellus-luridus
Deer Mushroom,60782,Yes,https://www.inaturalist.org/taxa/60782-Pluteus-cervinus
Larch Bolete,147277,Yes,https://www.inaturalist.org/taxa/147277-Suillus-grevillei
Panthercap,48418,No,https://www.inaturalist.org/taxa/48418-Amanita-pantherina
Luminescent Panellus,68309,No,https://www.inaturalist.org/taxa/68309-Panellus-stipticus
Sheathed Woodtuft,153033,Yes,https://www.inaturalist.org/taxa/153033-Kuehneromyces-mutabilis
Brown Birch-Bolete,63232,Yes,https://www.inaturalist.org/taxa/63232-Leccinum-scabrum
Rooting Shank,383374,Yes,https://www.inaturalist.org/taxa/383374-Oudemansiella-radicata
Common Rustgill,194304,No,https://www.inaturalist.org/taxa/194304-Gymnopilus-penetrans
Garlic Parachute,1134741,Yes,https://www.inaturalist.org/taxa/1134741-Mycetinis-alliaceus
Honey Mushroom - subspecies 2,55950,Yes,https://www.inaturalist.org/taxa/55950-Armillaria-mellea
Giant Puffball,57692,Yes,https://www.inaturalist.org/taxa/57692-Calvatia-gigantea
Blewit,1525548,Yes,https://www.inaturalist.org/taxa/1525548-Collybia-nuda
Trooping Crumble Cap,56314,Yes,https://www.inaturalist.org/taxa/56314-Coprinellus-disseminatus
Velvet-footed Tap,154450,No,https://www.inaturalist.org/taxa/154450-Tapinella-atrotomentosa
Shaggy Scalycap,153445,No,https://www.inaturalist.org/taxa/153445-Pholiota-squarrosa
Tawny Funnel Cap,841424,Yes,https://www.inaturalist.org/taxa/841424-Paralepista-flaccida
Deathcap,52135,No,https://www.inaturalist.org/taxa/52135-Amanita-phalloides
Deceiver,63236,Yes,https://www.inaturalist.org/taxa/63236-Laccaria-laccata
Brick Cap,130203,No,https://www.inaturalist.org/taxa/130203-Hypholoma-lateritium
Yellow Field Cap,55474,No,https://www.inaturalist.org/taxa/55474-Bolbitius-titubans
